Occupation,Occurrences
Guard Employed By Midland Railway Company,1
Junior Clerk,1
Deceased,1
Cart Inspector For Pall Mall Gazette,1
Pipe Fitter,1
Iron Founder,1
Tailor And Grocer,1
Leather Dresser And Manure Manufacturer,1
Porter And Messenger,1
Entering Clerk,1
Finisher,1
Liscenced Cabman,1
Shop Boy,1
Employed Aboard Ship,1
Licensed Victualler And Bar Proprietor,1
Boot And Shoe Manufacturer,1
Shipper,1
Fine Art Publisher,1
Railway Engine Driver,1
Hosier'S Assistant,1
Ship'S Saloon Waiter,1
Post Office Workre,1
Board Of Health Employee,1
Post Office Worjer,1
Lord St Leonards,1
Bailee,1
Fish Merchant,1
Keeps A Refreshment Room,1
Polce Constable,1
Forman,1
Counterman,1
Outdoor Clerk And Under Clerk,1
Dental Surgeon,1
Fruit Salesman,1
Lather,1
Biscuit Maker,1
Major In The Army,1
Salesman In The London Central Meat Market,1
Tea Dealer,1
Felt Maker,1
Milk Purveyors,1
Keep The Wheatsheaf Public-House, Greenwich,1
Keep The Lord Nelson, Trafalgar Road, East Greenwich,1
Assistant To Butcher,1
Lord Grantley,1
Net-Maker,1
Corn Dealer,1
Purser,1
Foreman Shipwright,1
Fancy Stationer,1
Newsboy,1
County Court Judge,1
Manager At Boot Shop,1
Foreman And Manager Of Building Site,1
Dray Driver,1
Zinc Manufacturer,1
Captain Of The Steamship,1
Captain In The Army,1
Student, Writer,1
Upsholsterer,1
Bedding Manufacturer,1
Keeps A Brush Warehouse,1
Workman For Contractor,1
Printer And Publisher,1
Ex-Wine Merchant,1
Silk Spinner,1
Milkman For Dairy,1
Employed By Leather Merchant,1
Lithographic Artist,1
Engine-Fitter,1
Shopman For Cornchandler,1
Retired Liscensed Victualler,1
Shorthand Clerk,1
Printer'S Outdoor Traveller,1
Sponge-Clipper,1
Surgical Instrument Coverer,1
Newspaper Manager,1
Assistant Book-Keeper,1
Potato Hawker,1
Owner Newspaper Shop,1
Unfortunate Woman,1
Post Office Letter Carrier (Suspended),1
Clerk In The Office Of The Incorporated Law Society,1
Manager To Stationers,1
Oilman On Ship,1
Master Butcher,1
Police Sergeant,1
Billiard-Room Proprietor,1
Metal Dealer,1
Pipe Manufacturer,1
Works For Auctioneer,1
Pianoforte Manufacturer,1
Furniture Warehouseman,1
Chief Engineer,1
Cap Amker,1
Printer, Publisher,1
Machine Dealer,1
Agent For Watchmakers,1
Fur-Puller,1
Commissioner For Taking Oaths,1
Hackney Carriage Driver,1
Canvasser For Advertisements,1
Tea Merchant'S Traveller,1
General Manager Of Newspaper,1
Discharged Soldier,1
Porter And Odd Job Man,1
Advertisement Agent,1
Veterinary Surgeon,1
Newspaper Propietor,1
Mantle Manufacturer,1
Canvasser And Collector For Photographers,1
Miller And Corndealer,1
Refreshment-House Keeper,1
Chief Clerk,1
Fancy Goods Dealer,1
Salesman To Hat Manufacturer,1
Countess,1
Cat'S Meat Man,1
Works In Theatre,1
Nursery Governess,1
Preacher,1
Custodian Of Hengler'S Circus,1
Engineering Student,1
Bricklayer And Jobbing Man,1
Paper-Maker,1
Lieutenant-Commander In The Argentine Navy,1
Patentee,1
Retired Merchant,1
Animal Keeper And Shop Attendant,1
Box Manufacturer,1
Domestic Servants,1
Sweetstuff Shopkeeper,1
Wood Pulp Maker,1
Wood Yard Foreman,1
Beadle,1
Lodging Housekeepers Deputy,1
Small Shop Keeper,1
General Secretary Of The National Amalgamated Sailors' And Firemen'S Union,1
Bakery Worker,1
Army Major,1
Worked In Sugar Refinery,1
Army Colonel,1
Manager To The Shrewsbury And Talbot Coal Company,1
Relief Station-Master At Penge Railway Station,1
Clerk And Manager To Builder,1
Boot And Show Manufacturer,1
Fruit-Shop Keeper,1
Ship'S Chief Engineer,1
Traveller, Agent,1
General Labourer,1
Merhcant,1
Wholesale Manufacturer,1
Fair Sewer,1
Keeps The Brassey Arms,1
Coal Miner,1
Earl Of Wicklow,1
Trustee Of The East End Mothers Home,1
Officer Under The Bankruptcy Acts To Administer Oaths,1
Overseer For The Parish Of St Mary Whitechapel,1
Secretary Of State For Home Department,1
Judge Of The High Court,1
Inspector Of Police,1
Building Socoety Employee,1
Loan Society Employee,1
Trustee Of The Surprise Friends Of Labour Loan Society,1
Police Magistrate,1
Servant To The Commissioners Of Customs,1
Secretary Of War,1
Barrister'S Clerk,1
Seaman'S Boarding-House Keeper,1
Gamekeeper,1
Handyman And Carpenter,1
Jeweller And Watchmaker,1
Tavern Landlady,1
Coal Heaver,1
Children'S Nurse,1
Clerk, Traveller, And Collector,1
Baker'S Shop And Post-Office Keeper,1
Lighterman And Barge Owner,1
Packing Room Foreman,1
Publican'S Manager,1
Ice-Crsam Vendor,1
Clothier'S Shop Keeper,1
Horse-Collar Maker,1
Clerk To Rag And Bone Merchant,1
Plater'S Boy,1
School Boy,1
3, Colburn Road, Ham,1
Retired Captain,1
Market-Gardener And Dairyman,1
Meat-Market Labourer,1
Lamplighter,1
Kitchen-Boy,1
An Unfortunate,1
Provision Maerchant,1
Composition Manufacturer,1
Employed In The Post Office - Extra Postman,1
House-Painter And Decorator,1
Painter, Builder And Carpenter,1
Seldom In Employment,1
Watchman On Steam Ship,1
Oilman And Colourman,1
Gun-Maker,1
Miner Walter Company Owner,1
Colliery Agent And Clerk,1
Account Collector,1
Fruit Hawker,1
Dealer In Jewellery And Landlord,1
Colliery Agent,1
Superintendent Worker, Army Clothing Department,1
57, Bow Lane, Poplar,1
3, Jewin Street,1
Chimney Sweeper,1
Cotton Merchant,1
Deserter From The Army,1
Outside Porter At The Central Meat Market,1
Liscensed Hawker,1
Manager, Economic Smokeless Fivre Company,1
Musical Composer,1
Bailiffs Assistant,1
Manager To Clothier,1
Warehouse Owner,1
Building Society Employee,1
Trustee,1
Earl Of Derby,1
Company Directorna,1
Earl Of Carrington,1
Employed By Railway Comapny,1
Barman And Labourer,1
Commission Agent For Fruit And Flowers,1
Manager Of Temperance Hotel,1
Ship'S Boatswain,1
Van Driver,1
Worked For Fish Dealer,1
Builder And Decorator,1
General Servant And Milk Carrier,1
Boot-Finisher,1
Bicycle Maker,1
Registered Physician And Surgeon,1
Milk Dealer,1
Inland Revenue,1
Prince Of Braganza,1
Servant Of The Council,1
34,1
Admiral,1
Physician And Surgeon,1
Keep The Hope And Anchor Public House,1
Secretary To J. A. Preece And Sons, Limited,1
Seed Sorter,1
Meat Carrier,1
Watchman For Watermen At The River Side,1
Works In Laundry,1
Colour-Type Printer,1
Auctioneer'S Porter,1
Greaser,1
Rivetter,1
Flie Man At The Hammersmith Theatre Of Varieties,1
Sold Matches And Bootlaces,1
Earl Selborne,1
Boiler-Maker,1
Cellar Man,1
Licensd Victualler,1
Scavenger,1
Navy Foreman,1
Manager Ofthe White Horse,1
Hotel Proprietor,1
Domestice Servant,1
Porter And Packer,1
Job Master,1
Manager Of Oil And Colour Shop,1
Servant Of The Metropolitan Borough Of Stepney,1
Principal Of The Guildhall School Of Music,1
Bookeeper And Invoice Clerk,1
Brush Importer,1
Duke Of Westminster,1
Sells Old Clothes,1
Cattle Dealer,1
Tea And Coffee Merchant,1
Boot Dealer,1
Rubber Worker,1
Thermometer Maker,1
Waste Paper Dealer,1
Tramway Ticket Inspector,1
Soldier, 1St Suffolk Regiment,1
Cotter,1
Wood Machinist,1
Car Man,1
Bill-Poster,1
Money Taker At A Music-Hall,1
Printing Ink Grinder,1
2, Clerk,1
Elocutionist,1
Cigarette-Maker,1
Wife Of Harry Strohm,1
Field Worker,1
Wife Of Male Prisoner,1
Clerks,1
Entertainer,1
Silver Caster,1
Stonecutter,1
Stone Dresser,1
Salter,1
Cropper Boy,1
Stationer'S Assistant,1
Author,1
No Trade,1
Ex-Solicitor,1
Licensed Victualler, Retired,1
Waste-Paper Dealer,1
Tanner And Leather Merchant,1
Marine Engineer,1
Blouse Manufacturer,1
Law Writer,1
Dealer'S Assistant,1
Art Florist,1
Cycle Porter,1
Van-Guard,1
Relieving Officer Of The Mile End Guardians,1
Treasurer Of The Weygood Directors' Sick Club,1
Fancy Jeweller,1
Patent Medicine Vendor,1
Master Gardener,1
Money-Lender,1
Rag Dealer,1
Skin Dresser,1
Chief Inspector Of Police,1
Manufacturer Of Kitchen Utensils,1
Piano Finisher,1
Collector Of Taxes,1
Stone Cutter,1
Servant Maid,1
Clerk To The Guardians Of The Poor Of The Poplar Union,1
Second Steward,1
Wholsesale Stationers,1
Chmeist,1
Waste Paper Merchant,1
Umbrella Handle Fitter,1
Cap Cutter,1
Dairy-Man,1
Piano Tuner,1
Works Manager,1
Director And Manager,1
Diamond Polisher,1
Nursemaid,1
Alderman,1
Metal Refiner,1
Metal Polish Maker,1
Public-House Broker,1
Bakers Assistant,1
Trustee In Bankruptcy,1
=Engineer,1
Wardrobe Dealer,1
Carman And Contractor,1
Postman Employed Under Post Office,1
Postman Employed Under The Post Office,1
Wife,1
Printer'S Reader,1
Dealer And Midwife,1
Deader,1
Purse-Maker,1
Employed At Post Office,1
Former Bookmaker,1
Scalemaker,1
Bricklayers Labourer,1
House And Estate Agent,1
Porter Employed By Post Office,1
Car-Washer,1
Messenger Employed Under Post Office,1
Cock Cutter,1
Of No Occupation,1
Dealer Employed Under The Post Office,1
Cabwasher,1
Pedlar,1
Boat Proprietor,1
6, Photographer,1
Labourer And Army Reservist,1
Workhouse Ward Attendant,1
Works At Confectioners,1
Harmonium Builder,1
Butterman,1
Bluejacket - Navy Gunner,1
Kitchen Boy,1
Baker And Confectioner,1
Dealer And Costermonger,1
Antiques Dealer,1
South African Trader,1
Quantity Surveyor,1
Workhouse Cook,1
Workhouse Labour Master,1
Workhouse Labour Mistress,1
Vegetable Salesman,1
Coal Dealer,1
Printer'S Boy,1
Groundman,1
Butcher'S Assistant,1
Door Attendant,1
Builder'S-Labourer,1
Tarpaulin Maker,1
Fitter'S Mate,1
Stick Mounter,1
Litter,1
Supervisor Of Inland Revenue,1
Shipbuilder,1
Post Office Porter,1
Post Office Groom,1
Vulcaniser,1
Postmistress,1
Decorator And Occasional Postman,1
Confectioner And Restaurant Keeper,1
Wood Stainer,1
Iron Turner,1
Sack Maker,1
Barge Breaker,1
Motorbus Driver,1
7, Salesman,1
Laundrymaid,1
Van Traveller,1
Conductor,1
Meter Inspector,1
Motor Omnibus Driver,1
Jam Maker,1
Presser,1
Auctioneer And Estate Agent,1
Tiler,1
Pavior,1
Instrument Maker,1
Motor Mechanic,1
Bus Driver,1
Magnetic Healer,1
Bookman,1
Desler,1
Post Office Messenger,1
8, Clerk,1
Servant Parlourmaid,1
Pawnbroker'S Warehouseman,1
Collector Of Insurance Premiums,1
X22;Higher Critic",1
Retired Major-General,1
Road Foreman,1
Donkeyman,1
Signal Boy,1
Tram-Driver,1
M.D.,1
Hat And Cap Manufacturer,1
Manager To Fruiterer,1
Flowermaker,1
Inventor,1
Furniture Remover,1
Landlord Of White Bear,1
Brass Polisher,1
Organ Grinder,1
Beerhouse Manager,1
Keeps An Off-License House,1
Turf Commission Agent,1
Laudry Manager,1
Antique Dealer,1
Phrenologist,1
Metal Sorter,1
Shoeing Smith,1
Forage Merchant,1
Saleroom Attendant,1
Corn Merchant'S Foreman,1
School Attendant,1
9, Clerk,1
Occupation And Antecedents Unknown,1
Wireless Operator,1
Leather Worker,1
3, Journalist,1
Pianoforte Polisher,1
Paper Hanger,1
Mortgage Broker,1
Singer,1
Music Teacher,1
Formerly A Solicitor,1
Stick-Mounter,1
Rifle-Cleaner,1
Pattern-Maker,1
Marine Store Dealer,1
Letter Sorter,1
Tram Conductor Employed By The London County Council,1
1, Dealer,1
8, Labourer,1
Trunk Maker,1
Machine Man,1
Formerly Licensee Of A Beerhouse In Whitechapel,1
7, Weightlifter,1
Parkkeeper,1
Clerk, Of French Nationality,1
Catameat Vendor,1
Railway Messenger,1
Shop Woman,1
Billposter,1
Lampfitter,1
Clockmaker,1
Piano Repairer,1
9, Dealer,1
Pointer,1
Registered Moneylender,1
Ex-Postman,1
Telegraph Fitter,1
Drill Instructor,1
Electric Therapeutic,1
Road Man,1
Leather Gilder,1
Working Jeweller,1
Pawnbroker, Jeweller,1
Electrician'S Mate,1
Window-Cleaner,1
Sadler,1
Motor Man,1
Subeditor,1
Artist, Designer,1
Schoolmistress,1
Buyer,1
Ticket Writer,1
Masseuse,1
Billiard Instructor,1
Poultry Breeder,1
Tinker,1
Taking Out Patents Fin The Motor Trade,1
Deputy, Common Lodging House,1
Employed By Star Newspapaper,1
Printer, Stationer,1
Telegraph Messenger,1
Motor Cab Driver,1
Fret Cutter,1
Sign Writer,1
Advertising Specialist,1
Paper Agent,1
Concert Agent,1
Job-Buyer,1
Tinplate Worker,1
Brickcleaner,1
Cape Mounted Policeman,1
Wire Drawer,1
Deacon,1
Parlourmaid,1
Grainer,1
Craneman,1
Blind Maker,1
Covent Garden Market Porter,1
Toymaker,1
Postal Porter,1
Brick-Layer,1
Rag Sorter,1
Railway Constable,1
Shopwoman,1
8, Van Boy,1
Boiler Scraper,1
Gasworker,1
Organ Builder,1
Motor Washer,1
Valuer,1
Lieutenant, Swedish Army,1
Steeplejack,1
Typist,1
Temporary Assistant Postman,1
8, Jeweller,1
Horn Dealer,1
7, Labourer,1
Case Maker,1
Table Maker,1
Pattern Cutter,1
Fretworker,1
Gate Maker,1
Wood-Carver,1
Sugar Planter,1
Tile Fixer,1
Baptist Minister And Missionary,1
Postal Sorter,1
Bioscope Operator,1
Moulder,1
Superintendant Registrar Of Births Deaths And Marriages,1
Establishment Sorter,1
Van Washer,1
Estates Manager,1
Record-Presser,1
6, Glass Moulder,1
Icecream Vendor,1
Auxiliary Postman And Tailor,1
Wharf Manager,1
Wrestler,1
8, Barman,1
Blousemaker,1
Boot Fitter,1
Uxiliary Postman,1
Taxi, Driver,1
Ink Maker,1
Trainer,1
Engineers' Finisher,1
Skindresser,1
Metalworker,1
Printer'S Cutter,1
Beer Retailer,1
Coal-Trimmer,1
Stable Boy,1
Tax Collector,1
Stockjobber,1
Stewardess,1
Wood Engraver,1
Baker, Grocer,1
Fireman With P And O Company,1
Taxicab Proprietor,1
Bottmaker,1
Stationer, Newsagent,1
Captain Of Barge,1
Baker, Confectioner,1
Chemist'S Assistant,1
Motor-Mechanic,1
Ship'S Quartermaster,1
Flower Maker,1
Taxi-Cab Proprietor,1
Ribbon Merchant,1
Lace Merchant,1
Embroidery Dealer,1
Embroidery Mercant,1
Embroidery And Trimming Importers,1
Sail Maker,1
Taxi Driver,1
Motor Builder,1
Licensee,1
Private Detective,1
Inquiry Agent,1
Collier,1
Duchess,1
Casual Sorter,1
Clerk And Auxiliary Postman,1
Box Cutter,1
Stick Maker,1
Master Stevedore,1
Shipbroker,1
Motor Fitter,1
Sea-Man,1
Grinder,1
Sailmaker,1
Cab Cleaner,1
Coal Trimmer,1
Instructor,1
Palmist,1
Tram Conductor,1
Pot- Man,1
Chairmaker,1
Watcher,1
Picture Dealer,1
Cab-Washer,1
2, Stoker,1
Motor Smith,1
5, Labourer,1
Vestry Woman,1
Piano Dealer,1
Super,1
Wharf Foreman,1
Music-Hall Manager,1
Bust Maker,1
Gymnastic Instructor,1
Machine Cleaner,1
Licensced Victualler,1
Army Reservist,1
Manager To Outfitter,1
Cap Manufacturer,1
Analytical Chemist,1
Designer,1
Blockcutter,1
Jeweller'S Clerk,1
Hospital Attendant,1
Motorman,1
Tea Sifter,1
Debt Collector,1
Coal Carman,1
Cricketer,1
Bag Maker,1
Ticketwriter,1
S. Evedore,1
Linoleum Planner,1
Coeter,1
Ex-Policemen,1
Tram. Driver,1
Flat Proprietor,1
Iron Merchant,1
Horse Rider,1
Parlour Maid,1
Shoe Finisher,1
Boot Sewer,1
Share Dealer,1
Chemical Instrument Manufacturer,1
Detective,1
Delegate Of The Sailors' And Firemen'S Union,1
Chambermaid,1
Ship'S Clerk,1
Retired Officer,1
Galvaniser,1
Rubber Sorter,1
Glass Severer,1
Music-Hall Attendant,1
Towel Supplier,1
Cabinet Maker'S Foreman,1
Cabinet Manufacturer,1
Boliermaker,1
Brass Moulder,1
Mat Maker,1
Waterside Labourer,1
Painter And Decorator,1
Sorter In Post Office,1
Assistant Postman And Gardener,1
Artist'S Model,1
Foreman Packer At The Royal Mint,1
Coalman,1
Authoress,1
Agent To Leather Goods Manufacturers,1
Variety Artist,1
Post Office Assistant,1
Picture Palace Proprietor,1
Costumier'S Matcher,1
Book-Maker,1
Carriage Cleaner,1
Job Buyer,1
Bottle Washer,1
Coster-Monger,1
Sealer,1
Postal Clerk,1
Hotel Porter,1
School Teacher,1
Warrant Officer, Royal Navy,1
Notary,1
Sign Fixer,1
Fish Frier,1
8,1
Art Expert,1
Post Office Overseer,1
Post Office Clerk,1
0, Agent,1
Saleswoman,1
Horsedealer,1
Fitter'S Labourer,1
Bottle Merchant,1
Coffee-House-Keeper,1
Costumier,1
